Retention Priority,Customer ID,Surname,Geography,Gender,Age,Tenure,Credit Score,Balance,Number of Products,Has Credit Card,Is Active Member,Estimated Salary,Churn Probability Percent,Risk Level,Predicted Churn,Actual Churn,Recommended Retention Action
186,15666711,Ukaegbulam,France,Female,46,0,586,0.0,3,0,1,131553.82,92.95,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
187,15668283,Gardiner,France,Male,48,9,642,118317.27,4,0,0,78702.98,92.94,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
188,15720929,Kazantseva,France,Female,47,8,604,62094.71,3,0,0,9308.1,92.94,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
189,15638882,Cardell,Germany,Female,62,9,710,148214.36,1,1,0,48571.14,92.9,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
190,15717770,Marcelo,Spain,Female,55,7,850,0.0,1,0,0,171762.87,92.89,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
191,15791321,Nwora,Spain,Female,58,4,682,0.0,1,1,0,176036.01,92.88,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
192,15701687,Campbell,Spain,Male,44,7,664,77526.66,3,0,0,57338.56,92.87,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
193,15655123,Dumetolisa,Spain,Female,45,9,505,131355.3,3,1,0,195395.33,92.83,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
194,15640852,McGregor,Germany,Female,39,5,617,83348.89,3,1,0,7953.62,92.83,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
195,15761294,Manna,Germany,Female,56,8,667,137464.04,1,1,0,130846.79,92.82,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
196,15781272,Coles,France,Male,50,4,669,149713.61,3,1,1,124872.42,92.77,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
197,15807120,Oluchukwu,Germany,Female,52,3,841,112383.03,1,1,0,85516.37,92.76,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
198,15769246,Lo Duca,Germany,Male,59,2,813,135078.41,1,1,0,187636.06,92.75,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
199,15708534,Afamefuna,Spain,Female,64,5,524,0.0,1,1,0,136079.64,92.75,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
200,15796910,Tsui,Spain,Female,57,7,625,0.0,1,0,0,84106.17,92.73,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
201,15664270,Balsillie,Germany,Male,45,6,692,142084.04,4,1,0,188305.85,92.72,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
202,15683416,Russo,Germany,Male,51,8,572,97750.07,3,1,1,193014.26,92.71,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
203,15591107,Flemming,Germany,Female,68,3,723,110357.0,1,0,0,141977.54,92.66,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
204,15774358,Robertson,Germany,Male,59,4,443,110939.3,1,1,0,72846.58,92.65,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
205,15605059,Mackie,Germany,Male,63,3,576,148843.56,1,1,0,69414.13,92.62,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
206,15606641,Beggs,Germany,Male,56,10,762,100260.88,3,1,1,77142.42,92.49,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
207,15635964,Eve,Germany,Male,65,4,566,120100.41,1,1,0,107563.16,92.49,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
208,15639357,Allan,France,Male,46,9,415,134950.19,3,0,0,178587.36,92.47,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
209,15813659,Folliero,France,Female,56,7,594,0.0,1,1,0,26215.85,92.44,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
210,15724858,Begum,France,Female,54,9,688,0.0,1,1,0,191212.63,92.38,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
211,15645847,P'eng,Germany,Male,35,2,569,109196.66,3,1,0,109393.19,92.35,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
212,15767264,Lawson,Germany,Male,53,1,465,117438.17,1,0,0,74898.8,92.28,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
213,15609623,McConnell,France,Female,63,5,637,0.0,1,1,0,28092.77,92.26,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
214,15813113,Chang,Spain,Female,56,5,795,0.0,1,1,0,35418.69,92.25,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
215,15749519,Lin,France,Male,38,6,822,128289.7,3,1,0,9149.96,92.22,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
216,15716609,L?,Germany,Male,54,3,484,134388.11,1,0,0,49954.79,92.17,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
217,15811690,Bayley,Germany,Male,54,2,793,128966.13,1,0,0,18633.4,92.17,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
218,15635364,Gray,France,Female,49,9,618,44301.43,3,1,1,89729.3,92.14,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
219,15671534,Hovell,Germany,Female,57,6,646,90212.0,1,1,0,13911.27,92.13,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
220,15753174,Thompson,Germany,Male,37,9,571,139592.98,3,1,0,104152.65,92.1,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
221,15585362,Simmons,France,Female,60,6,749,0.0,1,1,0,17978.68,92.06,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
222,15592736,Lucchese,Germany,Male,54,5,551,102994.04,1,1,0,176680.16,92.01,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
223,15695339,Lucchesi,Germany,Male,53,0,517,109172.88,1,1,0,54676.1,92.0,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
224,15645200,Chiang,Germany,Female,54,2,581,152508.99,1,1,0,187597.98,91.99,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
225,15657809,Lo,France,Male,55,10,585,106415.57,3,1,1,122960.98,91.99,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
226,15606613,Samson,France,Female,59,7,655,0.0,1,1,0,88958.49,91.93,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
227,15711446,Sinclair,Spain,Female,51,3,569,0.0,3,1,0,75084.96,91.9,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
228,15764604,Sutherland,France,Female,35,7,586,164769.02,3,1,0,119814.25,91.89,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
229,15677310,Christie,Germany,Male,62,5,761,98854.34,1,0,0,86920.97,91.88,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
230,15647008,Adams,Germany,Male,54,3,624,116726.22,1,1,0,110498.1,91.86,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
231,15639946,Sazonova,Germany,Female,39,8,597,162532.14,3,1,0,36051.46,91.84,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
232,15812210,Yashina,Germany,Female,32,8,497,111537.23,4,1,1,9497.99,91.84,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
233,15583392,Woronoff,Germany,Male,37,9,747,135776.36,3,1,0,85470.45,91.81,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
234,15759067,Bromby,Germany,Female,37,7,537,158411.95,4,1,1,117690.58,91.78,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
235,15605279,Francis,France,Male,50,9,792,0.0,4,1,1,194700.81,91.77,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
236,15721460,Lorenzo,France,Male,60,8,678,185648.56,1,0,0,192156.54,91.76,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
237,15689786,Massie,Germany,Male,56,1,850,169743.83,1,0,0,155850.4,91.76,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
238,15679884,Hs?eh,France,Male,48,10,544,78314.63,3,1,1,103713.93,91.76,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
239,15625080,Parkin,Spain,Female,54,8,745,0.0,1,1,0,173912.29,91.75,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
240,15739972,Hughes,Germany,Female,45,9,650,152367.21,3,1,0,150835.21,91.72,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
241,15764431,Chinwenma,Spain,Female,34,5,671,130929.02,4,1,1,28238.25,91.72,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
242,15590201,Fiorentini,Spain,Female,50,5,500,0.0,4,1,1,83866.35,91.7,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
243,15661275,Wynn,Germany,Male,52,3,532,110791.97,1,1,0,148704.77,91.68,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
244,15684868,Cameron,Germany,Male,56,9,668,110993.79,1,1,0,134396.64,91.62,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
245,15766575,Larionova,Germany,Female,62,8,612,140745.33,1,1,0,193437.89,91.6,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
246,15815271,Ritchie,Germany,Male,43,6,755,165048.5,3,1,0,16929.41,91.53,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
247,15605826,Korovina,Germany,Male,46,10,652,121063.8,3,1,0,151481.86,91.4,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
248,15572182,Onwuamaeze,Germany,Female,33,3,505,106506.77,3,1,0,45445.78,91.38,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
249,15691504,Yusupova,Germany,Female,52,8,619,124099.13,1,0,0,23904.52,91.37,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
250,15600399,Trentino,France,Male,60,4,598,0.0,1,1,0,197727.14,91.35,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
251,15648967,Ch'en,Germany,Female,64,1,698,169362.43,1,1,0,84760.32,91.35,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
252,15812241,Udinese,Germany,Male,59,7,438,127197.14,1,1,0,51565.98,91.34,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
253,15568006,Ukaegbunam,France,Female,45,2,634,0.0,4,1,0,101039.53,91.27,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
254,15807563,Ch'iu,France,Female,52,5,841,0.0,1,0,0,183239.71,91.21,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
255,15815490,Cocci,Germany,Male,40,2,670,164948.98,3,0,0,177028.0,91.2,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
256,15792064,Pai,Germany,Male,53,5,545,114421.55,1,1,0,180598.28,91.17,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
257,15571059,Martin,France,Female,54,3,734,0.0,1,1,0,130805.54,91.16,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
258,15669411,Muse,Germany,Female,52,6,750,107467.56,1,1,0,126233.18,91.15,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
259,15605000,John,France,Male,38,9,550,140278.99,3,1,1,171457.06,91.14,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
260,15658409,Mao,France,Male,41,5,686,128876.71,3,1,1,106939.34,91.11,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
261,15809320,McElhone,Spain,Female,52,0,845,0.0,1,1,0,31726.76,91.09,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
262,15734008,Bartlett,Germany,Male,59,5,727,152581.06,1,1,0,71830.1,91.08,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
263,15623107,Chukwumaobim,Spain,Male,45,3,686,74274.87,3,1,0,64907.48,91.02,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
264,15796230,Morley,Germany,Female,36,2,642,124495.98,3,1,1,57904.22,90.99,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
265,15658577,Massie,France,Female,37,10,629,99546.25,3,0,1,25136.95,90.98,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
266,15593425,Bracewell,Spain,Female,54,1,662,187997.15,1,0,0,111442.71,90.96,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
267,15743411,Chiawuotu,Spain,Male,61,1,609,0.0,1,1,0,22447.85,90.85,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
268,15596761,Hawdon,Germany,Male,60,9,515,113715.36,1,1,0,18424.24,90.83,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
269,15776780,He,France,Male,59,1,608,0.0,1,1,0,70649.64,90.81,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
270,15751561,Meng,Germany,Male,61,7,498,102453.26,1,1,0,187247.56,90.78,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
271,15746708,Ritchie,Germany,Male,55,7,589,119961.48,1,1,0,65156.83,90.76,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
272,15806027,Niu,France,Female,52,9,556,0.0,1,1,0,175149.2,90.75,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
273,15691785,Findlay,France,Male,61,1,850,0.0,1,1,0,53067.83,90.73,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
274,15580148,Welch,Germany,Male,40,5,750,168286.81,3,1,0,20451.99,90.72,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
275,15732266,Field,Germany,Male,53,5,553,127997.83,1,1,0,165378.66,90.71,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
276,15642391,Lettiere,Germany,Male,51,4,621,109978.83,1,0,0,177740.58,90.7,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
277,15578603,Alexeieva,Germany,Female,54,1,584,77354.37,1,0,0,138192.98,90.69,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
278,15594391,Samaniego,France,Female,68,2,770,183555.24,1,0,0,159557.28,90.67,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
279,15786463,Hsing,Germany,Female,59,8,645,121669.93,2,0,0,91.75,90.65,High Risk,1,1,Relationship-manager outreach and digital engagement support
280,15793455,Tien,Spain,Female,55,6,627,0.0,1,0,0,91943.94,90.54,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
281,15684173,Chang,Spain,Female,44,7,687,0.0,3,1,0,155853.52,90.49,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
282,15657468,Simmons,Germany,Female,53,5,711,123805.03,1,1,0,102428.51,90.48,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
283,15603942,Hawthorn,Germany,Male,50,3,547,81290.02,3,0,1,177747.03,90.45,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
284,15724223,Bronner,France,Female,55,5,545,0.0,1,0,0,10034.77,90.43,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
285,15813946,Duffy,Germany,Male,51,1,637,104682.83,1,1,0,55266.96,90.37,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
286,15693205,Peng,Germany,Female,41,8,691,109153.96,3,1,1,148848.76,90.36,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
287,15571415,Okwudiliolisa,Germany,Male,56,6,805,151802.29,1,1,0,46791.09,90.36,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
288,15788068,Lopez,Germany,Male,45,10,743,144677.19,3,1,0,22512.44,90.33,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
289,15811588,Eluemuno,Spain,Female,53,7,664,187602.18,1,1,0,186392.99,90.32,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
290,15768342,Bolton,France,Male,52,8,718,79475.3,3,1,1,32421.32,90.27,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
291,15642821,Ijendu,Spain,Female,48,8,383,95808.19,1,0,0,137702.01,90.26,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
292,15647838,Davison,Germany,Female,51,2,648,116574.84,1,1,0,4121.04,90.26,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
293,15711028,Nnachetam,France,Male,52,1,534,0.0,3,1,1,104035.41,90.23,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
294,15702541,Fraser,France,Female,59,2,551,166968.28,1,1,0,159483.76,90.22,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
295,15775761,Iweobiegbunam,Germany,Female,69,5,610,86038.21,3,0,0,192743.06,90.16,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
296,15638607,Nwabugwu,France,Female,52,2,546,0.0,1,1,0,137332.37,90.14,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
297,15596870,Marino,Germany,Male,54,3,749,144768.94,1,1,0,93336.3,90.11,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
298,15637476,Alexandrova,Germany,Female,57,5,683,162448.69,1,0,0,9221.78,90.1,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
299,15743817,Hargreaves,Germany,Male,40,8,621,174126.75,3,1,0,172490.78,90.06,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
300,15784958,Allan,France,Female,55,10,797,0.0,4,1,1,49418.87,90.05,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
301,15796115,Forbes,Germany,Female,40,4,689,78119.59,4,1,0,119259.34,90.03,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
302,15593795,Linton,Germany,Female,53,1,516,156674.2,1,1,0,118502.34,90.02,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
303,15646190,Saunders,France,Female,56,0,677,119963.45,1,0,0,158325.87,89.98,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
304,15768451,MacDonald,Germany,Male,40,5,739,149131.03,3,1,1,60036.99,89.97,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
305,15639077,Marchesi,France,Female,30,2,622,158584.82,3,1,0,142342.55,89.83,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
306,15700487,Osonduagwuike,France,Male,46,6,805,118022.06,3,1,0,162643.15,89.82,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
307,15635116,Burgos,Spain,Male,60,2,659,0.0,1,1,0,177480.45,89.8,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
308,15745083,Lei,Germany,Male,59,8,613,91415.76,1,0,0,27965.0,89.64,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
309,15801559,Chiang,Germany,Female,41,9,693,181461.48,3,1,1,187929.43,89.61,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
310,15586585,Duncan,Germany,Female,51,2,698,111018.98,1,1,0,86410.28,89.6,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
311,15592751,Okwudiliolisa,Germany,Female,63,3,684,81245.79,1,1,0,69643.31,89.55,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
312,15672432,Giles,France,Female,53,4,594,0.0,1,1,0,5408.74,89.43,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
313,15625426,Ashbolt,Germany,Female,55,3,754,161608.81,1,1,0,8080.85,89.36,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
314,15570931,Grant,France,Male,61,5,620,0.0,1,0,0,31641.52,89.31,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
315,15726103,Tsou,Germany,Female,55,1,689,76296.81,1,1,0,42364.75,89.31,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
316,15741988,Marino,Germany,Female,52,8,492,125396.24,1,1,0,10014.72,89.27,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
317,15704583,Chikwado,France,Male,56,2,651,0.0,1,1,0,114522.68,89.26,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
318,15636089,Hs?,Germany,Female,51,1,678,145751.03,1,0,0,109718.44,89.26,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
319,15676895,Cattaneo,Germany,Female,39,6,547,74596.15,3,1,1,85746.52,89.23,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
320,15805637,Hsing,France,Male,36,9,625,108546.16,3,1,0,133807.77,89.19,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
321,15806570,Y?an,France,Female,53,4,763,0.0,1,1,0,77203.72,89.19,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
322,15743498,Winter,Germany,Male,52,9,532,137755.76,1,1,0,163191.99,89.16,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
323,15588614,Walton,France,Male,57,7,753,0.0,1,1,0,159475.08,89.16,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
324,15634974,Seppelt,France,Female,37,8,614,75150.34,4,0,1,131766.67,89.15,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
325,15794580,Ch'en,France,Male,58,4,599,0.0,1,0,0,176407.15,89.11,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
326,15757759,Okwuoma,Spain,Female,28,7,807,165969.26,3,1,0,156122.13,89.08,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
327,15616213,Levy,Germany,Female,51,9,555,138214.5,1,1,0,198715.27,89.04,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
328,15791533,Ch'ien,Spain,Male,42,6,367,93608.28,1,1,0,168816.73,89.0,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
329,15573628,Greene,Germany,Female,51,7,751,148074.79,1,1,0,146411.41,89.0,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
330,15772423,Liao,Germany,Male,54,8,739,126418.14,1,1,0,134420.75,88.97,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
331,15625824,Kornilova,Spain,Male,30,6,596,121345.88,4,1,0,41921.75,88.94,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
332,15704284,Ekechukwu,Germany,Male,57,9,736,95295.39,1,1,0,28434.44,88.91,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
333,15702571,Wright,Germany,Female,35,1,778,151958.19,3,1,1,131238.37,88.86,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
334,15579212,Chuang,France,Male,57,6,638,0.0,1,1,0,33676.48,88.77,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
335,15574068,Norman,Germany,Male,56,9,504,104217.3,1,0,0,55857.48,88.73,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
336,15571869,Lei,Germany,Female,50,4,669,112650.89,1,0,0,166386.22,88.7,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
337,15685372,Azubuike,Spain,Male,54,1,350,152677.48,1,1,1,191973.49,88.67,High Risk,1,1,Needs-based product review and personalized loyalty offer
338,15791944,Harker,France,Male,32,7,697,175464.85,3,1,0,116442.42,88.67,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
339,15632280,Toth,Spain,Female,53,9,544,0.0,1,1,0,125692.07,88.63,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
340,15591698,P'eng,Germany,Female,49,9,849,132934.89,1,1,0,171056.65,88.61,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
341,15711716,Ferguson,France,Female,56,1,580,131368.3,1,1,0,106918.67,88.54,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
342,15763108,Davis,Germany,Male,53,7,600,106261.63,1,1,0,93629.66,88.48,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
343,15578787,Goddard,France,Female,52,4,641,0.0,1,1,0,90964.54,88.48,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
344,15663161,Chiu,Germany,Female,51,5,680,143139.87,1,0,0,47795.43,88.46,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
345,15692106,Rose,Spain,Female,25,3,606,147386.72,3,1,0,45482.04,88.44,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
346,15752081,Vassiliev,France,Female,56,10,468,0.0,3,0,1,62256.87,88.43,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
347,15613699,Schnaars,France,Female,60,7,430,73937.02,1,1,0,161937.62,88.38,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
348,15793688,Bancks,France,Male,50,9,669,201009.64,1,1,0,158032.5,88.32,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
349,15623989,Griffin,France,Male,54,3,435,0.0,1,1,0,156910.46,88.28,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
350,15752507,K?,Germany,Male,60,9,769,148846.39,1,1,0,192831.67,88.27,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
351,15651533,Brown,Germany,Female,50,5,570,129293.74,1,1,0,177805.44,88.26,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
352,15683503,Hudson,France,Female,43,8,601,0.0,3,0,1,110916.15,88.25,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
353,15680303,Gibson,France,Male,57,6,594,0.0,1,1,0,19376.56,88.21,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
354,15702095,Clarke,Spain,Female,56,1,585,128472.8,1,1,0,186476.91,88.14,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
355,15659736,Herbert,Germany,Male,66,5,716,121411.9,1,0,0,10070.4,88.13,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
356,15807609,Yuan,Spain,Female,25,3,650,86605.5,3,1,0,16649.31,88.11,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
357,15619955,Bevington,Germany,Male,34,3,733,100337.96,3,1,0,48559.19,88.09,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
358,15672594,Stevenson,France,Female,60,0,597,131778.08,1,0,0,10703.53,88.02,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
359,15739592,Sokolov,Germany,Female,51,10,707,98438.23,1,0,0,70778.63,88.01,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
360,15720371,McLean,France,Female,51,3,652,0.0,1,1,0,173989.47,88.01,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
361,15708063,Walker,France,Male,36,2,712,100749.5,3,0,0,70758.37,87.98,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
362,15610686,Melton,France,Male,63,8,850,169832.57,1,0,0,184107.26,87.95,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
363,15745326,Carandini,France,Female,62,3,538,75051.49,1,0,0,17682.02,87.94,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
364,15626147,Maclean,France,Female,62,8,608,144976.5,1,0,0,175836.03,87.91,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
365,15665077,Vogel,France,Female,43,5,598,0.0,3,1,1,100722.72,87.88,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
366,15771668,Henderson,France,Male,59,10,578,185966.64,1,0,0,9445.42,87.88,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
367,15694444,Buttenshaw,Germany,Female,32,8,648,157138.99,3,1,0,190994.48,87.86,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
368,15651900,Bergamaschi,Germany,Female,53,1,782,81571.05,1,1,0,182960.46,87.76,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
369,15743236,Piccio,France,Female,61,7,687,80538.56,1,1,0,131305.37,87.63,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
370,15664001,Riddle,Germany,Female,53,8,695,95231.91,1,0,0,70140.8,87.62,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
371,15679145,Chou,Spain,Male,57,7,706,0.0,1,1,0,17941.16,87.61,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
372,15798895,Okonkwo,France,Female,59,6,525,55328.4,1,1,0,83342.73,87.58,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
373,15690546,Riley,France,Female,42,2,618,0.0,4,0,0,111097.39,87.53,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
374,15724863,Sheppard,Spain,Female,55,4,420,91893.32,1,1,0,144870.28,87.51,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
375,15612494,Panicucci,France,Female,44,6,359,128747.69,1,1,0,146955.71,87.49,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
